C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2021-05-23T00:00:00.000Z,0.2563208341598511,1,0.7665382901375929,0.12772958032582557,1496,0,0.7894201278686523,0.5936213731765747,0.9130434989929199,0
2021-05-28T00:00:00.000Z,0.020850040018558502,0.9619508981704712,0.7615036278574624,0.11677816006227718,1496,0,0.7845891714096069,0.6043083667755127,0.8914549946784973,0.1336898395721929
2021-06-02T00:00:00.000Z,-0.02167630009353161,0.9845798015594482,0.7425558302902623,0.14405894489620383,1496,0,0.7759928703308105,0.5525575876235962,0.8922559022903442,0.6684491978609628
2021-06-07T00:00:00.000Z,0.25257962942123413,1,0.7620838184487372,0.1253642171837092,1496,0,0.7852174043655396,0.5951661467552185,0.9037626385688782,0
2021-06-12T00:00:00.000Z,0.14034797251224518,0.9655172228813171,0.7486261516152057,0.1231803431396884,1496,0,0.7727272510528564,0.5838690996170044,0.882477879524231,0
2021-06-17T00:00:00.000Z,0.11875221878290176,0.969710111618042,0.744048373091388,0.1292374520391578,1496,0,0.764928936958313,0.5764172077178955,0.8889883756637573,0
2021-07-02T00:00:00.000Z,0.2823920249938965,1,0.7786339042499096,0.12222791416504271,1496,0,0.7998957633972168,0.6132181882858276,0.9197446703910828,0
2021-07-17T00:00:00.000Z,0.2669776976108551,0.9672578573226929,0.7518847675964154,0.12113003015756592,1496,0,0.7709543704986572,0.5905077457427979,0.8929729461669922,0.4679144385026749
2021-07-27T00:00:00.000Z,0.2696690261363983,0.9634270071983337,0.756062082667401,0.11662068196183306,1496,0,0.7740160822868347,0.6032719612121582,0.8904271125793457,0
2021-08-01T00:00:00.000Z,0.25153374671936035,0.9542421102523804,0.739000385358212,0.12253219868674059,1496,0,0.7583628296852112,0.5763779282569885,0.8810198307037354,1.60427807486631
2021-08-11T00:00:00.000Z,0.021122511476278305,0.897097647190094,0.6881065682886556,0.12727016164265234,1496,0,0.7094085216522217,0.5238953828811646,0.8312720656394958,0.1336898395721925
2021-09-15T00:00:00.000Z,0.049466539174318314,0.9185823798179626,0.7024256985579783,0.11915387846005679,1496,0,0.7189460396766663,0.5463546514511108,0.8385907411575317,0
2021-09-20T00:00:00.000Z,0.2267010658979416,0.9090064764022827,0.692180227777139,0.11844686180470189,1496,0,0.7077702879905701,0.529691219329834,0.8298368453979492,0
2021-10-15T00:00:00.000Z,0.21657021343708038,0.9049327373504639,0.6927281263020425,0.11886430671226322,1496,0,0.7101072669029236,0.5325443744659424,0.8324751257896423,0
2021-10-25T00:00:00.000Z,0.2095952033996582,0.9115577936172485,0.6820831460390189,0.12437651916012409,1496,0,0.6999050378799438,0.5139582753181458,0.829463005065918,0
2021-11-04T00:00:00.000Z,-0.09905441105365753,1,0.6545320891023167,0.15108291269955035,1496,0,0.6809291243553162,0.464006245136261,0.8201342225074768,5.614973262032092
2021-11-29T00:00:00.000Z,0.190435528755188,0.9081600904464722,0.6576619994811672,0.13240102483441574,1496,0,0.6730627417564392,0.4762308895587921,0.8179445266723633,0
2021-12-04T00:00:00.000Z,0.1980866640806198,0.9007960557937622,0.6544230180110209,0.12951269207570612,1496,0,0.6709601879119873,0.47721076011657715,0.8110964298248291,0
2021-12-14T00:00:00.000Z,-0.038525961339473724,0.8908002972602844,0.6481789940778894,0.1354122315357586,1496,0,0.6686522960662842,0.46281498670578003,0.807546079158783,0.668449197860963
2021-12-19T00:00:00.000Z,0.20207254588603973,0.9047387838363647,0.661088346648104,0.13035820425399605,1496,0,0.6782549619674683,0.47974860668182373,0.8167277574539185,0
2021-12-24T00:00:00.000Z,0.21153846383094788,0.9049718379974365,0.6643851845062043,0.12969251351768413,1496,0,0.6799242496490479,0.4851814806461334,0.8202179074287415,0
